pl_name,hostname,discovery_year,discovery_method,orbital_period_days,radius_earth,mass_earth,semi_major_axis_au,stellar_temp_k,stellar_radius_solar,stellar_mass_solar,distance_pc,hz_inner_au,hz_outer_au,potentially_habitable,consortium
PYC-2022-0621,PYC Star 618,2022,Transit,1.568,1.57,2.442,0.0303,6235.0,1.276,1.506,320.9,1.114,2.629,0,Kepler
PYC-2006-0622,PYC Star 807,2006,Transit Timing Variations,4.729,1.708,4.605,0.0588,4405.0,1.092,1.213,67.9,0.476,1.124,0,TESS
PYC-2009-0623,PYC Star 064,2009,Transit,1.212,8.047,278.757,0.0219,6210.0,0.811,0.951,60.1,0.703,1.658,0,Kepler
PYC-2020-0624,PYC Star 169,2020,Transit Timing Variations,24.03,3.037,8.716,0.2036,4121.0,0.77,1.95,61.7,0.294,0.693,0,Kepler
PYC-2005-0625,PYC Star 212,2005,Transit,109.709,12.414,480.957,0.5596,2500.0,0.974,1.943,12.3,0.137,0.323,0,K2
PYC-1997-0626,PYC Star 532,1997,Radial Velocity,641.496,1.218,0.796,1.5322,5469.0,0.394,1.166,56.5,0.265,0.625,0,HAT-P
PYC-2013-0627,PYC Star 015,2013,Transit,24.534,3.305,30.546,0.1394,5286.0,0.64,0.601,160.7,0.402,0.948,0,K2
PYC-2023-0628,PYC Star 857,2023,Transit,2310.258,5.103,125.127,3.3759,5463.0,0.509,0.962,1.2,0.341,0.806,0,Kepler
PYC-2011-0629,PYC Star 635,2011,Radial Velocity,81.478,1.188,0.85,0.3338,5427.0,0.905,0.747,209.7,0.599,1.413,0,Kepler
PYC-2013-0630,PYC Star 814,2013,Microlensing,87.94,2.465,17.182,0.3911,4973.0,1.469,1.032,304.3,0.816,1.926,0,TESS
PYC-2013-0631,PYC Star 019,2013,Radial Velocity,1.911,1.537,4.87,0.027,4567.0,1.116,0.721,30.5,0.523,1.234,0,TESS
PYC-2013-0632,PYC Star 247,2013,Transit,2.182,4.824,43.037,0.0286,4601.0,0.715,0.658,85.1,0.34,0.803,0,WASP
PYC-2007-0633,PYC Star 404,2007,Transit,68.631,1.387,0.868,0.2519,4386.0,0.655,0.453,185.4,0.283,0.668,0,TESS
PYC-2011-0634,PYC Star 693,2011,Transit,248.606,4.279,25.645,0.789,4440.0,0.641,1.06,282.6,0.284,0.67,0,TESS
PYC-2013-0635,PYC Star 584,2013,Transit,2.485,1.005,0.752,0.0275,3170.0,2.213,0.447,70.0,0.5,1.179,0,TESS
PYC-2001-0636,PYC Star 376,2001,Transit,30.037,2.321,19.298,0.1822,3707.0,0.928,0.894,137.6,0.286,0.676,0,Other
PYC-2019-0637,PYC Star 275,2019,Transit,9.602,1.916,5.112,0.0959,4653.0,0.985,1.275,109.0,0.479,1.13,0,KMT
PYC-2004-0638,PYC Star 298,2004,Radial Velocity,20.058,4.047,22.91,0.1328,2783.0,0.348,0.777,98.1,0.061,0.143,0,K2
PYC-2024-0639,PYC Star 331,2024,Radial Velocity,2.903,2.374,10.195,0.0351,2993.0,0.529,0.684,25.7,0.106,0.251,0,WASP
PYC-2015-0640,PYC Star 620,2015,Radial Velocity,1.404,1.316,1.069,0.0243,4499.0,0.882,0.977,44.8,0.401,0.947,0,Kepler
PYC-2022-0641,PYC Star 781,2022,Radial Velocity,6.983,5.949,133.441,0.0649,4685.0,0.719,0.748,75.4,0.355,0.837,0,Kepler
PYC-2009-0642,PYC Star 429,2009,Transit,931.462,4.865,37.516,1.9075,4518.0,0.956,1.067,113.9,0.438,1.034,0,K2
PYC-2005-0643,PYC Star 811,2005,Transit,527.666,13.699,595.119,1.1329,2658.0,0.95,0.697,128.4,0.151,0.356,0,HAT-P
PYC-2007-0644,PYC Star 270,2007,Transit,0.991,3.153,23.892,0.0192,6197.0,1.179,0.964,279.8,1.017,2.401,0,SPITZER
PYC-2013-0645,PYC Star 772,2013,Radial Velocity,0.876,6.729,340.94,0.0172,3507.0,0.388,0.886,20.3,0.107,0.253,0,WASP
PYC-2011-0646,PYC Star 001,2011,Transit,32.529,13.557,2635.77,0.1992,4064.0,0.547,0.996,38.1,0.203,0.479,0,WASP
PYC-2018-0647,PYC Star 675,2018,Transit,4.753,3.505,15.497,0.0669,3664.0,0.861,1.772,147.3,0.26,0.613,0,Kepler
PYC-2017-0648,PYC Star 854,2017,Transit,620.705,8.972,222.843,1.4577,5969.0,0.673,1.072,50.6,0.538,1.27,0,SPITZER
PYC-2016-0649,PYC Star 250,2016,Transit,30.623,0.931,1.076,0.2032,5179.0,0.783,1.193,92.0,0.472,1.113,0,Kepler
PYC-2019-0650,PYC Star 613,2019,Transit,806.037,2.117,12.605,1.5759,4374.0,0.945,0.804,389.4,0.406,0.959,0,Gaia
PYC-2017-0651,PYC Star 068,2017,Radial Velocity,1.05,1.087,0.421,0.0208,4311.0,0.644,1.081,136.4,0.269,0.634,0,Kepler
PYC-2012-0652,PYC Star 766,2012,Transit,2297.038,1.307,2.094,3.2996,4962.0,0.981,0.908,28.6,0.543,1.281,0,Kepler
PYC-2014-0653,PYC Star 440,2014,Transit,375.513,1.773,3.476,1.0222,3678.0,1.15,1.01,138.7,0.349,0.825,0,TESS
PYC-2005-0654,PYC Star 382,2005,Radial Velocity,274.237,1.75,1.638,0.8911,5143.0,0.927,1.255,8.8,0.551,1.299,1,Kepler
PYC-2023-0655,PYC Star 832,2023,Transit,1759.767,5.166,36.621,2.6909,4306.0,1.245,0.839,75.8,0.519,1.224,0,Kepler
PYC-1999-0656,PYC Star 833,1999,Radial Velocity,26.577,1.711,3.041,0.1664,5268.0,0.339,0.87,7.1,0.211,0.498,0,WASP
PYC-2021-0657,PYC Star 201,2021,Transit,1.51,1.908,5.521,0.0243,5237.0,0.691,0.843,94.7,0.426,1.005,0,HAT-P
PYC-2005-0658,PYC Star 863,2005,Transit,33.696,3.795,53.08,0.1925,4266.0,1.345,0.838,69.8,0.55,1.297,0,Kepler
PYC-2009-0659,PYC Star 189,2009,Transit,576.902,3.653,34.657,1.3839,2953.0,0.61,1.063,30.9,0.119,0.282,0,TESS
PYC-2015-0660,PYC Star 731,2015,Transit,856.725,1.574,5.221,1.692,4578.0,0.574,0.88,148.3,0.27,0.638,0,TESS
PYC-2018-0661,PYC Star 701,2018,Radial Velocity,31.276,8.804,289.724,0.2314,3495.0,0.85,1.689,108.2,0.233,0.551,0,Kepler
PYC-2023-0662,PYC Star 453,2023,Transit,275.281,0.707,0.285,1.1321,4871.0,0.893,2.554,137.0,0.476,1.123,0,TESS
PYC-2015-0663,PYC Star 533,2015,Transit,3.623,1.76,3.964,0.0432,4569.0,0.708,0.82,70.1,0.332,0.783,0,CoRoT
PYC-2003-0664,PYC Star 355,2003,Transit,3.129,3.132,27.55,0.0433,4271.0,2.063,1.108,167.7,0.845,1.995,0,KMT
PYC-2022-0665,PYC Star 364,2022,Transit,74.791,0.745,0.78,0.3921,3634.0,1.024,1.438,143.5,0.304,0.717,1,TESS
PYC-2023-0666,PYC Star 464,2023,Radial Velocity,17.233,4.433,44.604,0.1266,5868.0,0.6,0.911,21.6,0.464,1.094,0,WASP
PYC-2016-0667,PYC Star 776,2016,Astrometry,1.683,1.909,3.377,0.0247,4392.0,0.471,0.706,90.1,0.204,0.482,0,TESS
PYC-2007-0668,PYC Star 435,2007,Transit,356.768,1.197,1.888,1.2058,6918.0,1.08,1.837,212.6,1.161,2.741,1,WASP
PYC-2011-0669,PYC Star 524,2011,Transit,46.149,1.068,1.507,0.2728,4831.0,0.593,1.271,10.3,0.311,0.734,0,HAT-P
PYC-1995-0670,PYC Star 637,1995,Transit,41.554,5.222,136.13,0.2437,5116.0,2.371,1.118,126.3,1.394,3.291,0,TESS
PYC-2005-0671,PYC Star 828,2005,Transit,2.166,4.451,34.572,0.0388,4835.0,1.091,1.661,11.3,0.573,1.353,0,Kepler
PYC-2007-0672,PYC Star 774,2007,Astrometry,3.439,3.959,25.63,0.0488,5107.0,1.158,1.309,82.8,0.679,1.601,0,KMT
PYC-2014-0673,PYC Star 331,2014,Transit,193.351,8.263,353.842,0.6507,5783.0,1.007,0.983,177.8,0.756,1.785,0,TESS
PYC-2019-0674,PYC Star 777,2019,Transit,800.27,0.465,0.111,1.5053,5794.0,1.491,0.71,161.7,1.124,2.653,1,TESS
PYC-2007-0675,PYC Star 400,2007,Transit,1.944,1.969,4.652,0.0288,3210.0,0.306,0.841,171.0,0.071,0.167,0,TESS
PYC-2000-0676,PYC Star 085,2000,Microlensing,562.276,0.819,1.115,1.5344,5570.0,0.524,1.525,115.1,0.365,0.861,0,Kepler
PYC-1999-0677,PYC Star 067,1999,Transit,452.874,10.398,221.988,1.2497,5247.0,1.433,1.27,225.9,0.887,2.092,0,TESS
PYC-2015-0678,PYC Star 185,2015,Transit,575.298,1.726,11.547,1.3246,4832.0,1.768,0.937,8.1,0.928,2.189,1,TESS
PYC-2021-0679,PYC Star 331,2021,Transit,71.838,6.276,87.287,0.4156,6341.0,0.516,1.856,196.0,0.466,1.101,0,K2
PYC-2008-0680,PYC Star 360,2008,Transit,9.236,2.941,25.48,0.0846,6377.0,0.397,0.946,1.4,0.363,0.856,0,Kepler
PYC-2003-0681,PYC Star 162,2003,Transit,388.878,3.241,20.15,1.17,5614.0,0.97,1.413,34.6,0.687,1.622,0,HAT-P
PYC-2000-0682,PYC Star 161,2000,Transit,28.965,14.751,1252.654,0.1894,4311.0,1.12,1.08,119.7,0.467,1.103,0,TESS
PYC-2021-0683,PYC Star 030,2021,Transit,2.896,1.54,2.693,0.0498,3727.0,0.962,1.967,175.1,0.3,0.708,0,WASP
PYC-2000-0684,PYC Star 820,2000,Transit,14.499,9.11,479.408,0.1271,5479.0,0.876,1.302,393.9,0.591,1.394,0,Kepler
PYC-2006-0685,PYC Star 230,2006,Transit,23.754,2.482,8.931,0.1626,6024.0,0.391,1.016,89.7,0.319,0.752,0,TESS
PYC-2011-0686,PYC Star 584,2011,Transit,36.333,1.138,1.051,0.2103,2974.0,0.76,0.939,170.2,0.151,0.357,1,Kepler
PYC-2002-0687,PYC Star 442,2002,Imaging,1202.746,2.362,23.14,2.2094,5778.0,0.813,0.995,17.7,0.61,1.439,0,HAT-P
PYC-2020-0688,PYC Star 324,2020,Radial Velocity,15.68,1.285,1.947,0.1127,4571.0,0.703,0.776,106.2,0.33,0.779,0,TESS
PYC-2015-0689,PYC Star 223,2015,Transit,5.078,1.086,0.884,0.0493,3172.0,0.38,0.62,129.5,0.086,0.202,0,TESS
PYC-2005-0690,PYC Star 058,2005,Transit,2143.963,1.0,0.474,3.3733,5222.0,1.171,1.114,59.9,0.717,1.693,0,Other
PYC-2019-0691,PYC Star 099,2019,Radial Velocity,3.464,3.127,49.24,0.0421,5618.0,1.329,0.83,227.3,0.942,2.224,0,K2
PYC-2016-0692,PYC Star 609,2016,Transit,0.442,1.011,0.781,0.0107,4484.0,0.629,0.829,135.7,0.284,0.671,0,TESS
PYC-2018-0693,PYC Star 406,2018,Transit,785.54,0.917,2.236,1.649,3848.0,0.828,0.969,84.5,0.275,0.65,0,HAT-P
PYC-2014-0694,PYC Star 871,2014,Radial Velocity,1998.002,0.402,0.114,3.1236,6341.0,0.72,1.018,342.7,0.65,1.534,0,TESS
PYC-1995-0695,PYC Star 133,1995,Transit,175.939,1.085,1.327,0.615,4198.0,0.723,1.003,282.8,0.286,0.675,1,WASP
PYC-2002-0696,PYC Star 837,2002,Radial Velocity,15.196,2.258,9.049,0.1471,5844.0,1.124,1.837,176.7,0.862,2.034,0,Other
PYC-2008-0697,PYC Star 078,2008,Transit,51.185,5.705,280.247,0.2915,3438.0,1.136,1.261,218.9,0.302,0.712,0,WASP
PYC-2012-0698,PYC Star 659,2012,Transit,670.065,8.788,95.066,1.9164,5174.0,1.46,2.091,141.3,0.878,2.072,0,Kepler
PYC-2002-0699,PYC Star 864,2002,Transit,1078.47,1.335,2.357,1.9554,5149.0,1.446,0.858,180.6,0.861,2.033,1,Kepler
PYC-2021-0700,PYC Star 139,2021,Transit,0.999,5.709,81.183,0.0214,5586.0,0.833,1.316,35.3,0.584,1.378,0,KMT
PYC-2012-0701,PYC Star 428,2012,Transit,923.848,1.289,1.739,1.7752,6144.0,3.234,0.874,29.3,2.742,6.471,0,Kepler
PYC-1999-0702,PYC Star 828,1999,Transit,98.703,3.305,24.112,0.3915,4068.0,1.808,0.822,46.2,0.672,1.586,0,TESS
PYC-2024-0703,PYC Star 722,2024,Radial Velocity,0.534,0.858,0.588,0.0165,5269.0,0.669,2.119,274.8,0.417,0.985,0,HIRES
PYC-2008-0704,PYC Star 197,2008,Transit,1.053,4.912,68.893,0.0185,3570.0,0.953,0.764,25.4,0.273,0.644,0,HAT-P
PYC-2012-0705,PYC Star 154,2012,Transit,0.6,2.794,14.287,0.0107,3560.0,0.368,0.458,48.5,0.105,0.247,0,Kepler
PYC-2019-0706,PYC Star 304,2019,Radial Velocity,1895.757,2.501,5.62,2.7601,4279.0,0.911,0.781,45.4,0.375,0.885,0,HAT-P
PYC-2011-0707,PYC Star 415,2011,Radial Velocity,17.982,3.578,33.289,0.1063,5168.0,1.911,0.495,183.3,1.147,2.707,0,K2
PYC-2022-0708,PYC Star 265,2022,Transit,237.2,1.734,5.984,0.6711,6309.0,3.146,0.717,290.7,2.814,6.64,0,HIRES
PYC-2014-0709,PYC Star 081,2014,Transit,0.406,1.627,2.705,0.0097,6473.0,0.852,0.74,456.1,0.802,1.893,0,TESS
PYC-2005-0710,PYC Star 448,2005,Pulsar Timing,473.86,3.714,77.117,1.1944,4481.0,1.046,1.012,28.4,0.472,1.114,0,TESS
PYC-2017-0711,PYC Star 371,2017,Transit,29.511,0.931,1.618,0.1471,5075.0,1.182,0.488,204.8,0.684,1.614,0,Kepler
PYC-2018-0712,PYC Star 275,2018,Radial Velocity,1517.319,2.788,21.922,2.9711,5649.0,2.194,1.52,103.4,1.572,3.711,0,Kepler
PYC-2000-0713,PYC Star 743,2000,Radial Velocity,41.742,0.914,1.199,0.1892,5489.0,0.578,0.519,154.6,0.391,0.924,0,TESS
PYC-2024-0714,PYC Star 261,2024,Radial Velocity,455.731,8.845,293.748,1.1418,4647.0,2.973,0.956,99.7,1.443,3.405,0,WASP
PYC-2011-0715,PYC Star 803,2011,Transit,109.972,1.226,3.007,0.4326,4868.0,0.78,0.893,99.0,0.416,0.981,1,TESS
PYC-2012-0716,PYC Star 011,2012,Transit,41.608,4.877,134.979,0.2587,4701.0,0.532,1.335,25.6,0.264,0.623,0,KMT
PYC-1995-0717,PYC Star 467,1995,Transit,1890.446,4.215,63.088,3.1174,4612.0,0.781,1.131,83.6,0.373,0.881,0,Kepler
PYC-2008-0718,PYC Star 855,2008,Transit,33.307,0.989,0.731,0.2327,4493.0,0.625,1.515,352.1,0.283,0.669,0,K2
PYC-2016-0719,PYC Star 258,2016,Imaging,1148.47,14.255,981.127,2.0577,4692.0,1.087,0.881,34.3,0.538,1.269,0,TESS
PYC-2015-0720,PYC Star 589,2015,Transit,0.552,10.77,643.211,0.0125,4435.0,0.428,0.85,19.1,0.189,0.446,0,WASP
PYC-2008-0721,PYC Star 660,2008,Transit,141.123,2.759,21.274,0.5567,3778.0,0.959,1.155,86.7,0.308,0.726,0,TESS
PYC-2001-0722,PYC Star 308,2001,Transit,1363.969,9.57,341.645,2.7141,5576.0,1.213,1.434,73.6,0.848,2.0,0,K2
PYC-2013-0723,PYC Star 575,2013,Imaging,1221.257,13.676,676.79,2.462,5265.0,1.754,1.335,197.5,1.092,2.577,0,Kepler
PYC-1999-0724,PYC Star 587,1999,Transit,30.316,2.136,15.889,0.1976,6489.0,1.223,1.119,95.5,1.156,2.729,0,WASP
PYC-2020-0725,PYC Star 423,2020,Transit,27.006,10.987,297.458,0.181,5133.0,1.706,1.085,52.1,1.01,2.383,0,HIRES
PYC-1998-0726,PYC Star 339,1998,Transit,553.158,4.257,27.002,1.3132,4425.0,0.685,0.987,109.2,0.301,0.711,0,OGLE
PYC-2019-0727,PYC Star 428,2019,Transit,7.948,1.153,0.745,0.0818,4236.0,1.075,1.154,61.0,0.433,1.022,0,WASP
PYC-2006-0728,PYC Star 134,2006,Transit,1712.45,5.168,44.648,3.5519,4843.0,0.33,2.039,204.6,0.174,0.41,0,CoRoT
PYC-2021-0729,PYC Star 444,2021,Transit,3.745,11.232,1004.694,0.0459,5298.0,0.855,0.919,57.0,0.539,1.272,0,HAT-P
PYC-2003-0730,PYC Star 293,2003,Transit,0.777,1.082,2.326,0.0159,4580.0,1.071,0.88,218.7,0.505,1.191,0,HAT-P
PYC-2000-0731,PYC Star 305,2000,Transit,392.024,0.378,0.077,0.9957,3477.0,1.116,0.857,165.1,0.303,0.715,0,Kepler
PYC-2012-0732,PYC Star 221,2012,Transit,14.804,9.183,408.857,0.1235,4135.0,0.443,1.146,61.6,0.17,0.402,0,K2
PYC-2017-0733,PYC Star 467,2017,Transit,9.566,5.551,85.719,0.0689,4816.0,0.755,0.476,120.8,0.393,0.929,0,KMT
PYC-2019-0734,PYC Star 007,2019,Transit,7.008,2.576,6.453,0.0706,5466.0,0.804,0.954,43.6,0.54,1.274,0,KMT
PYC-2008-0735,PYC Star 052,2008,Transit,2519.612,14.944,3429.858,4.0159,3463.0,0.742,1.361,398.0,0.2,0.472,0,WASP
PYC-2004-0736,PYC Star 188,2004,Transit,65.666,0.934,1.665,0.2996,5039.0,1.247,0.832,245.1,0.711,1.679,0,K2
PYC-2002-0737,PYC Star 513,2002,Transit,2791.189,4.029,44.715,3.9651,4999.0,0.816,1.068,34.7,0.458,1.082,0,OGLE
PYC-2007-0738,PYC Star 231,2007,Transit,8.579,0.971,0.603,0.1049,4394.0,0.941,2.092,212.5,0.408,0.963,0,Kepler
PYC-1996-0739,PYC Star 447,1996,Transit,16.077,12.576,645.575,0.1296,4272.0,0.722,1.123,187.3,0.296,0.699,0,Kepler
PYC-2007-0740,PYC Star 134,2007,Transit,2.646,0.75,0.335,0.0288,4137.0,1.453,0.457,8.9,0.559,1.319,0,TESS
PYC-2017-0741,PYC Star 379,2017,Transit,18.61,4.86,64.045,0.1166,4927.0,1.503,0.611,51.6,0.819,1.934,0,TESS
PYC-2012-0742,PYC Star 408,2012,Radial Velocity,0.696,1.352,2.557,0.0149,5814.0,0.783,0.916,315.8,0.595,1.404,0,K2
PYC-2012-0743,PYC Star 292,2012,Transit,0.402,0.753,0.404,0.0097,5878.0,3.246,0.755,22.3,2.519,5.946,0,TESS
PYC-2012-0744,PYC Star 045,2012,Transit,22.79,3.425,11.869,0.1592,3788.0,0.637,1.037,32.6,0.206,0.485,0,WASP
PYC-2013-0745,PYC Star 559,2013,Transit,311.135,1.303,5.776,0.8683,4632.0,1.416,0.902,24.6,0.682,1.611,1,Kepler
PYC-2001-0746,PYC Star 184,2001,Transit,19.757,9.892,435.849,0.1639,2826.0,0.587,1.504,52.0,0.105,0.248,0,Kepler
PYC-2010-0747,PYC Star 436,2010,Transit,40.678,0.951,1.101,0.2038,4898.0,1.274,0.683,12.7,0.687,1.621,0,WASP
PYC-2016-0748,PYC Star 638,2016,Radial Velocity,21.323,2.846,12.283,0.1469,5338.0,1.23,0.93,149.3,0.788,1.859,0,SPITZER
PYC-2010-0749,PYC Star 091,2010,Radial Velocity,44.001,0.889,0.338,0.2502,6214.0,0.571,1.079,271.2,0.495,1.169,0,KMT
PYC-1999-0750,PYC Star 611,1999,Transit,405.11,1.072,1.149,1.115,3192.0,0.849,1.127,8.2,0.194,0.458,0,Kepler
PYC-2010-0751,PYC Star 337,2010,Transit,520.932,3.211,17.668,1.2889,3821.0,2.086,1.053,13.3,0.684,1.614,0,TESS
PYC-2017-0752,PYC Star 453,2017,Transit,707.272,14.994,1627.171,1.1726,4930.0,0.624,0.43,15.7,0.341,0.804,0,OGLE
PYC-2018-0753,PYC Star 069,2018,Transit,2.662,13.049,1250.966,0.038,3343.0,1.078,1.03,144.7,0.271,0.639,0,Kepler
PYC-2020-0754,PYC Star 449,2020,Transit,23.781,1.968,8.518,0.159,4955.0,1.047,0.949,22.7,0.577,1.362,0,CoRoT
PYC-2007-0755,PYC Star 341,2007,Transit,664.137,7.909,354.621,1.6478,5361.0,0.883,1.353,155.6,0.57,1.345,0,TESS
PYC-2012-0756,PYC Star 161,2012,Transit,1786.072,0.733,1.097,3.1345,3647.0,0.413,1.288,293.6,0.123,0.291,0,WASP
PYC-2006-0757,PYC Star 480,2006,Microlensing,50.834,6.268,143.591,0.2762,4919.0,1.307,1.088,73.3,0.71,1.677,0,Kepler
PYC-2010-0758,PYC Star 585,2010,Transit,32.544,14.405,1781.824,0.2069,3709.0,0.905,1.116,106.8,0.28,0.66,0,K2
PYC-2023-0759,PYC Star 352,2023,Transit,367.208,3.633,36.625,1.1751,6038.0,1.479,1.605,164.1,1.211,2.859,0,K2
PYC-2020-0760,PYC Star 571,2020,Transit,2785.712,1.247,0.686,4.4311,4986.0,0.999,1.496,44.4,0.558,1.317,0,TESS
PYC-2022-0761,PYC Star 308,2022,Transit,17.888,0.475,0.133,0.1382,4224.0,0.926,1.101,28.1,0.371,0.876,0,Kepler
PYC-2000-0762,PYC Star 747,2000,Transit,1.745,6.902,98.394,0.0364,3686.0,1.064,2.119,280.6,0.325,0.766,0,TESS
PYC-2001-0763,PYC Star 253,2001,Transit,683.99,7.96,246.977,1.4119,5150.0,0.577,0.803,62.7,0.344,0.812,0,TESS
PYC-2016-0764,PYC Star 718,2016,Microlensing,226.465,1.357,1.488,0.6332,6022.0,1.814,0.66,264.5,1.478,3.489,0,Kepler
PYC-2017-0765,PYC Star 344,2017,Transit,1.46,2.188,10.366,0.0252,4106.0,0.76,0.996,34.0,0.288,0.679,0,K2
PYC-2019-0766,PYC Star 502,2019,Transit,7.173,4.663,89.434,0.0697,4404.0,0.765,0.877,28.0,0.333,0.786,0,Kepler
PYC-2023-0767,PYC Star 063,2023,Transit,55.697,2.437,18.497,0.2141,4123.0,1.61,0.422,107.4,0.615,1.451,0,Other
PYC-2012-0768,PYC Star 067,2012,Transit,273.233,6.252,263.826,0.7637,6200.0,1.006,0.796,487.5,0.869,2.05,0,Kepler
PYC-2006-0769,PYC Star 894,2006,Transit,423.754,5.642,38.883,1.1493,3082.0,0.809,1.128,182.2,0.173,0.408,0,CoRoT
PYC-2007-0770,PYC Star 007,2007,Transit,1.605,1.932,3.043,0.0266,5957.0,1.084,0.98,52.1,0.864,2.04,0,TESS
PYC-2024-0771,PYC Star 500,2024,Transit,2.767,4.777,252.038,0.0352,4461.0,1.193,0.762,448.4,0.533,1.258,0,Kepler
PYC-2018-0772,PYC Star 412,2018,Transit,305.901,7.716,336.094,0.8929,4736.0,0.853,1.015,15.9,0.43,1.015,0,KMT
PYC-2022-0773,PYC Star 572,2022,Radial Velocity,1.127,0.898,0.846,0.0215,4493.0,1.363,1.044,44.4,0.618,1.459,0,WASP
PYC-1996-0774,PYC Star 004,1996,Transit,34.077,0.574,0.24,0.2236,5016.0,0.508,1.284,32.9,0.287,0.678,0,CoRoT
PYC-2021-0775,PYC Star 165,2021,Radial Velocity,52.217,2.753,13.525,0.2537,4143.0,1.013,0.799,76.4,0.39,0.921,0,Kepler
PYC-2000-0776,PYC Star 305,2000,Transit,8.262,4.85,23.066,0.0886,5753.0,1.29,1.358,310.2,0.959,2.263,0,Kepler
PYC-2016-0777,PYC Star 831,2016,Transit,487.429,9.545,239.732,1.0673,5789.0,1.191,0.683,4.2,0.896,2.115,0,Kepler
PYC-2012-0778,PYC Star 315,2012,Radial Velocity,0.656,3.873,31.969,0.0139,3915.0,0.328,0.838,44.6,0.113,0.267,0,TESS
PYC-2001-0779,PYC Star 514,2001,Radial Velocity,411.818,12.726,520.909,1.3208,5401.0,0.85,1.812,284.4,0.557,1.315,0,SPITZER
PYC-2015-0780,PYC Star 516,2015,Transit,127.49,2.573,8.708,0.4399,4479.0,0.521,0.699,20.6,0.235,0.554,1,TESS
PYC-2005-0781,PYC Star 373,2005,Microlensing,36.945,8.43,917.946,0.201,4846.0,1.605,0.794,155.7,0.847,1.999,0,K2
PYC-2007-0782,PYC Star 746,2007,Transit,960.633,1.043,0.983,1.6462,6173.0,0.755,0.645,338.3,0.646,1.525,0,Kepler
PYC-2005-0783,PYC Star 642,2005,Transit,2.431,14.376,1175.64,0.0321,4193.0,1.527,0.749,1.0,0.603,1.424,0,K2
PYC-2003-0784,PYC Star 400,2003,Transit Timing Variations,507.117,4.961,72.617,1.2648,5634.0,0.52,1.05,142.9,0.371,0.876,0,Kepler
PYC-2017-0785,PYC Star 274,2017,Transit,2.136,6.85,199.923,0.0353,5211.0,1.073,1.281,11.1,0.655,1.545,0,K2
PYC-2016-0786,PYC Star 250,2016,Radial Velocity,2754.858,1.783,3.545,3.8376,4625.0,0.903,0.993,1.0,0.434,1.024,0,Other
PYC-2010-0787,PYC Star 841,2010,Transit,0.536,4.146,75.282,0.0124,5131.0,3.122,0.893,88.9,1.846,4.357,0,TESS
PYC-2003-0788,PYC Star 114,2003,Radial Velocity,55.684,1.428,3.154,0.2469,5024.0,1.529,0.647,63.1,0.867,2.046,0,Kepler
PYC-2007-0789,PYC Star 153,2007,Transit,1.791,0.748,0.247,0.0265,3757.0,1.486,0.775,81.1,0.471,1.112,0,Kepler
PYC-2020-0790,PYC Star 236,2020,Transit,15.24,1.028,1.018,0.1004,4254.0,2.242,0.582,37.1,0.911,2.151,0,TESS
PYC-2008-0791,PYC Star 749,2008,Transit,1.497,4.748,52.681,0.0279,3859.0,1.023,1.294,77.6,0.342,0.807,0,Kepler
PYC-2016-0792,PYC Star 619,2016,Transit,2.255,1.494,2.546,0.037,4551.0,0.861,1.326,281.0,0.4,0.945,0,HIRES
PYC-2009-0793,PYC Star 869,2009,Transit,0.689,1.397,3.078,0.0152,6011.0,0.818,0.986,56.2,0.664,1.566,0,TESS
PYC-2002-0794,PYC Star 649,2002,Transit,0.43,2.414,13.583,0.0117,5323.0,1.043,1.167,85.6,0.664,1.567,0,TESS
PYC-2008-0795,PYC Star 443,2008,Transit,245.14,1.934,7.193,0.8491,3511.0,0.259,1.359,38.4,0.072,0.169,0,WASP
PYC-2002-0796,PYC Star 037,2002,Transit,22.869,1.852,5.883,0.1596,4554.0,0.901,1.036,210.6,0.42,0.991,0,Kepler
PYC-2009-0797,PYC Star 789,2009,Transit,0.601,1.415,2.573,0.0164,5010.0,0.997,1.629,22.2,0.562,1.326,0,Kepler
PYC-2016-0798,PYC Star 603,2016,Radial Velocity,1740.306,5.774,32.561,2.5128,5470.0,0.839,0.699,68.6,0.564,1.331,0,TESS
PYC-2017-0799,PYC Star 065,2017,Transit,151.824,1.679,5.678,0.5348,4214.0,0.452,0.885,155.0,0.18,0.426,0,Kepler
PYC-2016-0800,PYC Star 873,2016,Radial Velocity,4.228,9.12,399.945,0.0485,3686.0,0.841,0.849,59.6,0.257,0.606,0,Kepler
PYC-1999-0801,PYC Star 558,1999,Transit,20.046,0.898,0.462,0.1557,4749.0,0.451,1.254,338.4,0.229,0.54,0,SPITZER
PYC-2005-0802,PYC Star 558,2005,Radial Velocity,31.477,2.899,18.317,0.165,5312.0,1.999,0.605,127.6,1.267,2.991,0,HAT-P
PYC-1996-0803,PYC Star 321,1996,Transit,64.65,6.392,171.899,0.3733,5011.0,0.802,1.66,91.7,0.452,1.067,0,Kepler
PYC-2019-0804,PYC Star 298,2019,Transit,840.877,5.853,177.63,1.8616,4004.0,0.356,1.217,17.5,0.128,0.302,0,HIRES
PYC-2005-0805,PYC Star 328,2005,Transit,77.261,12.006,826.455,0.4354,6379.0,0.82,1.845,140.9,0.75,1.769,0,Kepler
PYC-2013-0806,PYC Star 046,2013,Transit,2481.326,1.284,2.249,3.57,4711.0,1.347,0.986,98.3,0.671,1.584,0,OGLE
